location,number_of_bedroom,access_to_school,access_to_hospital,access_to_market,total_sqft,SalePrice
Phường Phú Thọ Hòa Quận Tân Phú,3,1,0,1,94.8,4861.8253
Phường 13 Quận 10,5,0,0,0,143.3,11504.592
Phường 13 Quận 10,6,1,1,1,143.3,14524.5474
Phường 11 Quận Gò Vấp,3,1,1,0,164,10777.2678
Phường Bình Trưng Đông Quận 2,3,0,1,1,123.3,4834.57878
Xã Phước Kiển Huyện Nhà Bè,4,1,0,1,154.6,4188.6
Phường 5 Quận Bình Thạnh,3,0,0,1,58.4,3203.3124
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,140.4,4295.6112
Phường 6 Quận 8,3,1,0,1,62.3,3474.5128
Phường 9 Quận Tân Bình,4,1,0,1,258.4,9716.6884
Phường 12 Quận Bình Thạnh,10,0,0,1,240,5140.90464
Phường Tân Kiểng Quận 7,20,1,0,1,392.8,8605.1852
Phường Thới An Quận 12,4,1,0,1,179.1,5012.9286
Phường 12 Quận Gò Vấp,5,1,0,1,119.9,4475.01285
Phường Tân Thới Hòa Quận Tân Phú,4,1,0,1,248.4,10374.1315
Phường 3 Quận 11,4,0,0,0,166.8,8584.61
Phường 12 Quận 6,5,0,0,0,174.5,23843.6018
Phường 4 Quận 6,3,1,0,1,163.3,8059.5075
Phường 13 Quận 11,4,1,1,1,177.6,10215.504
Phường 10 Quận 3,4,1,0,1,166.8,13398.754
Phường 11 Quận 10,4,0,0,0,137.7,9071.8056
Phường Đa Kao Quận 1,3,1,1,1,206.5,28486.764
Phường Long Trường Quận 9,4,1,0,1,149.3,3666.78416
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,268.6,7890.87312
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,1,1,142.8,3657.446
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,1,1,142.8,4299.6044
Xã Phong Phú Huyện Bình Chánh,6,1,0,1,111.3,6310.71
Phường Bình Trưng Đông Quận 2,3,1,1,1,180,5586.52136
Phường Hiệp Phú Quận 9,4,1,0,1,217.4,11281.51449
Phường Tăng Nhơn Phú B Quận 9,3,0,0,1,155.1,5903.59428
Phường 12 Quận Bình Thạnh,4,0,0,1,122,4673.79297
Phường Bình Chiểu Thành phố Thủ Đức,1,1,1,1,251.4,7478.6816
Phường Linh Đông Thành phố Thủ Đức,3,1,0,1,160,5025.2904
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,1,1,154.5,5442.2308
Phường Hiệp Bình Phước Thành phố Thủ Đức,3,1,0,1,173.8,5023.4248
Phường Hiệp Bình Phước Thành phố Thủ Đức,4,1,0,1,118.6,5596.8
Phường Tân Quý Quận Tân Phú,3,1,0,1,263.4,7502.733
Phường 15 Quận Gò Vấp,4,1,0,1,218.5,8438.448
Phường Phú Thọ Hòa Quận Tân Phú,4,1,0,1,126.8,6784.4717
Phường 13 Quận 6,9,0,0,1,181.4,6753.525
Xã Phước Lộc Huyện Nhà Bè,4,1,0,1,114.4,3230.88
Phường 5 Quận 6,3,1,1,1,125.4,6788.452
Phường Tân Phú Quận 7,4,0,0,0,158.7,5180.75
Phường 4 Quận Gò Vấp,3,1,0,1,128.8,4196.6566
Phường 11 Quận Bình Thạnh,5,0,0,1,182.8,13956.3045
Phường 11 Quận Bình Thạnh,3,0,0,0,182.8,15570.4619
Phường 5 Quận Phú Nhuận,3,0,0,0,81,3892.267
Phường 5 Quận Phú Nhuận,4,0,0,0,53,7001.3
Phường 3 Quận Phú Nhuận,2,1,0,1,33.9,3498
Phường 11 Quận 3,12,1,0,1,300,11601.7
Phường Tân Hưng Quận 7,4,1,1,1,135,5897.4955
Phường 9 Quận 3,3,1,1,1,67.7,4648.8897
Phường 11 Quận 10,4,0,0,0,77,6620.336
Phường Linh Đông Thành phố Thủ Đức,3,1,1,1,210.5,13065.10975
Phường 15 Quận 8,3,1,0,1,107.4,3076.4524
Phường 15 Quận 8,8,1,0,1,152.7,4194.53622
Phường 15 Quận 4,2,1,0,1,76.9,4653.33792
Phường Tân Thới Hiệp Quận 12,4,1,1,1,209,4370.0448
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,0,1,144.7,3858.2544
Phường 13 Quận Bình Thạnh,4,0,0,0,142.4,6931.12508
Phường Tam Bình Thành phố Thủ Đức,5,1,0,1,170.4,4671.7216
Phường 16 Quận Gò Vấp,3,0,0,0,228.8,5822.86208
Phường 17 Quận Gò Vấp,6,1,0,1,256.9,7637.21492
Phường 17 Quận Gò Vấp,3,1,0,0,174.8,6681.8832
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,184.4,5448.387
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,184.4,7275.744
Phường Linh Đông Thành phố Thủ Đức,4,1,0,1,334,11251.40625
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,0,1,137.6,4952.66625
Phường Phước Long A Quận 9,2,1,0,1,123.1,5972.79375
Phường Tân Sơn Nhì Quận Tân Phú,2,1,0,1,78.6,3304.1925
Phường Bình Trị Đông B Quận Bình Tân,2,1,1,1,186.9,11996.9325
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,93.3,6115.2
Phường 15 Quận 8,2,1,0,1,30.1,2672.88
Phường 3 Quận Gò Vấp,2,1,0,1,85.8,3998.4
Phường 4 Quận Gò Vấp,7,1,1,1,267.7,20574.855
Phường 9 Quận 8,3,0,0,0,215.1,7729.722
Phường 11 Quận Phú Nhuận,3,1,0,1,99.1,7539
Phường 8 Quận Gò Vấp,4,1,0,1,160.3,6426.729
Xã Xuân Thới Sơn Huyện Hóc Môn,5,1,0,1,245,6431.49836
Phường Tam Phú Thành phố Thủ Đức,12,1,0,1,93.4,4847.46
Phường 5 Quận Bình Thạnh,2,0,0,0,57.6,3055.30324
Phường Bình Trưng Tây Quận 2,4,1,0,1,165.8,5050.63188
Phường 4 Quận 6,3,0,0,1,77.8,4956.95376
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,253.3,5686.69416
Phường 5 Quận Bình Thạnh,7,0,0,1,162.4,7236.90882
Phường Tăng Nhơn Phú B Quận 9,4,1,1,1,186,6536.4
Phường Tam Bình Thành phố Thủ Đức,3,1,1,1,124.8,5359.6608
Phường Bình Trị Đông A Quận Bình Tân,3,1,1,1,166.6,6591
Phường Bình Hưng Hòa A Quận Bình Tân,4,1,0,1,130.5,3923.92
Phường Cát Lái Quận 2,4,1,0,1,177.7,5799.04
Phường Cát Lái Quận 2,4,1,0,1,177.5,5799.04
Phường 13 Quận Tân Bình,5,1,0,1,203,8401.536
Phường 13 Quận Tân Bình,4,1,0,1,176.1,8617.44
Phường 8 Quận Gò Vấp,5,1,0,1,186.4,5919.888
Phường 13 Quận Gò Vấp,4,1,0,1,144.2,4390.2144
Phường 10 Quận Gò Vấp,3,0,0,1,128.9,5358.9172
Phường Tân Quý Quận Tân Phú,3,1,0,1,201.4,7004.556
Phường Bình Trưng Đông Quận 2,4,1,1,1,191.5,6034.8288
Phường 10 Quận Gò Vấp,2,1,0,1,133,5654.3968
Phường Bình Trưng Tây Quận 2,4,1,0,1,210,7687.68
Phường 17 Quận Gò Vấp,4,0,0,0,163.8,4877.5272
Phường 17 Quận Gò Vấp,3,1,1,1,128.8,15106.0676
Phường 12 Quận Tân Bình,3,1,0,1,173.2,21618.48
Phường 4 Quận Gò Vấp,2,1,0,1,60.3,5616.0468
Phường 10 Quận Tân Bình,4,0,0,0,131.1,6219.72
Phường 2 Quận Tân Bình,3,1,0,1,278.1,29014.232
Phường Phú Thuận Quận 7,4,1,0,1,150,5574.114
Phường 9 Quận Tân Bình,4,1,0,1,234,10851.75
Phường 9 Quận Phú Nhuận,5,1,0,1,280.7,15964
Phường 9 Quận Phú Nhuận,8,0,0,0,280.7,22254.128
Phường 5 Quận Bình Thạnh,4,0,0,1,166,6824.896
Phường 12 Quận Bình Thạnh,3,1,0,1,165.7,16316.2064
Phường 25 Quận Bình Thạnh,4,1,0,1,217.7,18954
Phường 3 Quận Phú Nhuận,3,0,1,1,19.7,5699.21
Phường 12 Quận 3,4,0,0,0,219.7,15674.88
Phường 14 Quận 3,6,1,1,1,183.5,21155.264
Phường 1 Quận 5,3,1,1,1,44.8,13231.296
Phường Bình Trưng Tây Quận 2,3,1,0,1,191.4,10346.53488
Phường Thạnh Mỹ Lợi Quận 2,6,1,0,1,420.4,5790.6387
Phường 5 Quận 10,4,0,0,0,156.4,13338.9228
Phường 10 Quận 4,3,1,0,1,171.6,6141.14016
Xã Đa Phước Huyện Bình Chánh,6,1,0,1,252.3,4772.852
Phường 8 Quận Gò Vấp,5,1,0,0,190,8166.74656
Phường 10 Quận Gò Vấp,4,0,1,1,184,5014.0587
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,187.6,5018.13125
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,187.6,5576.879
Phường Tân Chánh Hiệp Quận 12,2,1,0,1,163.5,5369.1606
Phường Thạnh Xuân Quận 12,4,1,0,1,133.6,5312.80695
Phường Bình Trị Đông A Quận Bình Tân,2,1,1,1,97.2,16644.3674
Phường 12 Quận Gò Vấp,2,1,0,1,61,6816.334
Phường 12 Quận Gò Vấp,4,1,0,1,205.8,6206.78
Phường Hiệp Bình Phước Thành phố Thủ Đức,4,1,0,1,154.3,4117.425
Phường Hiệp Bình Phước Thành phố Thủ Đức,4,1,0,1,154.3,6025.5
Phường 17 Quận Gò Vấp,4,1,0,0,141.2,13704.768
Phường 12 Quận 6,4,0,0,0,163.2,8804.9962
Phường Tân Phú Quận 7,8,1,0,1,110,3611.6847
Phường 11 Quận Tân Bình,2,1,0,1,186.1,8027.511
Phường 9 Quận 8,3,1,0,1,83.8,3605.5768
Phường 15 Quận 10,3,0,0,0,237.7,10184.4237
Phường Bình Hưng Hòa B Quận Bình Tân,3,1,1,1,162.4,4299.61
Phường Hiệp Bình Phước Thành phố Thủ Đức,3,1,0,1,252,10494.338
Phường Phú Thuận Quận 7,2,1,1,1,74.6,3991.1072
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,202.3,6205.952
Phường Bình Trưng Tây Quận 2,4,1,1,1,187.2,7012.9152
Phường Tân Hưng Quận 7,7,1,1,1,162.3,7601.7664
Phường 4 Quận 3,2,0,0,0,65.6,5003.6224
Phường Tăng Nhơn Phú A Quận 9,3,0,0,0,126.4,4413.78294
Phường Tam Phú Thành phố Thủ Đức,4,1,0,1,142.3,6207.4236
Phường Long Trường Quận 9,4,1,0,1,139.8,4785.84
Phường Tân Thới Hiệp Quận 12,2,0,0,1,126,3224.322
Phường Tân Thới Hiệp Quận 12,2,1,0,1,126,3324.69
Phường 7 Quận 8,3,1,0,1,190.5,6557.8044
Phường Đông Hưng Thuận Quận 12,5,1,0,1,164.8,4947.306
Phường Tam Bình Thành phố Thủ Đức,4,1,0,1,152.1,5632.3125
Xã Nhơn Đức Huyện Nhà Bè,4,1,0,1,174,4372.4544
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,1,1,152.8,4398.495
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,1,1,159.9,4709.4726
Phường 15 Quận Tân Bình,3,0,0,0,155,5021.0928
Phường 10 Quận 6,5,1,0,1,177.3,10490.8938
Phường Tân Quý Quận Tân Phú,4,0,0,0,250,6120
Phường 17 Quận Gò Vấp,4,1,1,1,108.4,7197.76
Phường 15 Quận 8,3,1,0,1,121.4,3829.0698
Phường Hiệp Bình Chánh Thành phố Thủ Đức,14,1,0,1,256.5,9797.304
Phường Hiệp Bình Chánh Thành phố Thủ Đức,3,1,0,1,183.8,11558.742
Phường Phú Thuận Quận 7,4,1,0,1,166.9,5892.234
Phường 14 Quận 8,4,1,0,1,205.9,8503.3116
Phường Tân Phú Quận 9,4,1,1,1,193.3,5257.0749
Phường 16 Quận 11,5,1,0,1,192.7,11970.72
Phường 9 Quận Tân Bình,4,1,1,1,150,5748.21
Phường 11 Quận 11,2,0,0,1,66,3860.19
Phường 9 Quận Phú Nhuận,4,0,1,1,182.3,5505.8325
Phường 1 Quận Phú Nhuận,3,0,1,1,235.2,5224.389
Phường 7 Quận Phú Nhuận,4,0,1,1,169.8,9449.943
Phường 11 Quận Phú Nhuận,5,1,1,1,88,9086.109
Phường 14 Quận 3,5,0,0,0,269.7,25694.31
Phường 4 Quận 10,5,0,0,0,104.8,6411.72
Phường Long Thạnh Mỹ Quận 9,3,1,0,1,165,5892.57593
Xã Vĩnh Lộc B Huyện Bình Chánh,4,1,0,1,160.2,7447.9425
Phường Long Trường Quận 9,4,1,1,1,66.6,3390.5508
Phường Đông Hưng Thuận Quận 12,5,1,0,1,225.3,5955.3
Phường 7 Quận 6,4,0,0,0,133.6,6420.27659
Phường Thạnh Xuân Quận 12,4,1,0,1,155.5,3739.42413
Phường Tân Thới Nhất Quận 12,3,1,0,1,123,9397.2
Xã Xuân Thới Đông Huyện Hóc Môn,4,0,0,0,166.8,4202.86636
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,199.9,6030.36632
Phường 16 Quận Gò Vấp,4,1,0,1,109.2,4642.044
Phường Bình Trưng Đông Quận 2,4,1,1,1,215.3,8469.58992
Xã Xuân Thới Thượng Huyện Hóc Môn,4,0,0,0,180.1,4529.6076
Xã Xuân Thới Đông Huyện Hóc Môn,5,1,1,1,264.7,5269.9275
Phường 9 Quận Gò Vấp,4,1,0,1,163.5,6263.0403
Phường An Lạc A Quận Bình Tân,4,1,1,1,201.6,8991.37855
Phường 9 Quận Gò Vấp,4,1,0,1,140.9,6210.92935
Phường 13 Quận Tân Bình,5,1,1,1,143.3,9837.57675
Phường 13 Quận Tân Bình,4,0,0,0,218.9,13108.689
Phường 5 Quận 10,3,0,0,0,137.5,28057.9313
Phường Tây Thạnh Quận Tân Phú,9,1,0,1,239.2,12023.48448
Phường Tây Thạnh Quận Tân Phú,6,1,0,1,331.7,11985.372
Phường 13 Quận Bình Thạnh,5,1,0,1,238.6,14260.60944
Xã Xuân Thới Sơn Huyện Hóc Môn,4,1,0,1,143.1,6696.49433
Phường Hiệp Phú Quận 9,2,0,0,0,223,15003.74657
Phường Tân Tạo Quận Bình Tân,4,1,1,1,179.6,4470.18615
Phường Phước Long B Quận 9,5,1,0,0,372.8,13446.4475
Phường Linh Đông Thành phố Thủ Đức,3,1,0,1,135.5,6243.4875
Phường Hiệp Bình Chánh Thành phố Thủ Đức,3,1,0,1,355.5,12061.69856
Phường 5 Quận 8,2,1,0,1,89.4,3860.7765
Phường Tân Chánh Hiệp Quận 12,4,1,0,1,176.1,4202.1667
Phường Bình Hưng Hòa A Quận Bình Tân,4,1,0,1,155.9,4451.6356
Phường Bình Hưng Hòa Quận Bình Tân,3,1,0,1,227,6452.0052
Phường Cát Lái Quận 2,4,0,0,0,214.8,8026.11656
Phường Hiệp Bình Chánh Thành phố Thủ Đức,3,1,0,1,162.6,6056.58984
Phường Phú Trung Quận Tân Phú,10,1,0,1,391.9,12040.0182
Phường 10 Quận Tân Bình,4,0,0,0,169.8,5018.09742
Phường 24 Quận Bình Thạnh,4,0,0,1,132.9,6601.21968
Xã Xuân Thới Thượng Huyện Hóc Môn,4,0,0,0,202.3,4499.78661
Xã Xuân Thới Thượng Huyện Hóc Môn,3,0,0,0,181.7,4617.63684
Xã Xuân Thới Thượng Huyện Hóc Môn,4,0,0,1,195.3,5028.05604
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,199.5,5836.30932
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,159.5,6814.09098
Phường Thạnh Xuân Quận 12,5,0,0,1,228.1,5900.40726
Phường Thạnh Xuân Quận 12,4,1,0,1,194.2,6811.9968
Phường 11 Quận Gò Vấp,5,1,1,1,215.1,7620.50058
Phường Bình An Quận 2,4,0,0,1,179.4,9600.66
Phường Bình An Quận 2,4,1,0,1,354,12203.125
Phường Long Bình Quận 9,5,1,0,1,300,8500
Xã Tân Hiệp Huyện Hóc Môn,4,0,0,0,225.5,8049.155
Xã Xuân Thới Thượng Huyện Hóc Môn,3,0,0,0,167.3,3610.08
Xã Hiệp Phước Huyện Nhà Bè,4,0,0,0,315,5589
Xã Xuân Thới Sơn Huyện Hóc Môn,4,1,0,1,268.5,4756.5
Xã Xuân Thới Đông Huyện Hóc Môn,4,1,0,1,199.7,4607.5
Phường Long Thạnh Mỹ Quận 9,4,1,0,1,279.1,14198.4
Xã Thới Tam Thôn Huyện Hóc Môn,3,1,0,0,201,4199
Xã Thới Tam Thôn Huyện Hóc Môn,3,1,0,1,182.1,5793.4
Xã Xuân Thới Thượng Huyện Hóc Môn,4,1,0,1,177,4808.5
Xã Thới Tam Thôn Huyện Hóc Môn,3,0,0,0,202.4,3005.325
Phường Long Thạnh Mỹ Quận 9,3,0,0,1,199,6188.96
Xã Thới Tam Thôn Huyện Hóc Môn,4,1,0,1,222.5,5030.705
Phường Trường Thạnh Quận 9,3,1,0,1,165,5848
Xã Xuân Thới Đông Huyện Hóc Môn,6,1,0,1,264.7,5669.5
Phường Trường Thạnh Quận 9,3,1,0,1,264.2,5800
Phường Trường Thạnh Quận 9,3,1,1,1,264.2,5800
Phường Trường Thạnh Quận 9,3,1,0,1,264.2,5800
Phường Trường Thạnh Quận 9,3,1,1,1,264.2,5900
Phường Trường Thạnh Quận 9,3,1,0,1,264.2,5900
Phường Linh Xuân Thành phố Thủ Đức,3,1,1,1,150,3500
Phường Linh Xuân Thành phố Thủ Đức,4,1,1,1,125.8,4200
Phường Linh Xuân Thành phố Thủ Đức,4,1,0,1,174.3,4321.17
Phường Linh Xuân Thành phố Thủ Đức,3,1,1,1,140.3,5066.64
Phường Trường Thạnh Quận 9,4,0,0,0,250,6496
Phường Long Trường Quận 9,4,1,1,1,225,5200
Phường Long Trường Quận 9,4,1,1,1,300,5800
Phường Long Trường Quận 9,5,1,0,1,225,6200
Phường Hiệp Thành Quận 12,4,1,0,1,315,6246
Phường Tăng Nhơn Phú A Quận 9,5,1,1,1,265,10505
Phường Tăng Nhơn Phú A Quận 9,3,1,1,1,456.3,13059.97
Phường Thới An Quận 12,2,1,0,1,155.4,4850
Phường Thạnh Lộc Quận 12,2,1,0,1,206.6,5881.155
Phường Thạnh Xuân Quận 12,5,0,0,1,222.1,6104.9
Phường Bình Hưng Hòa B Quận Bình Tân,4,1,0,1,137.2,5081.58
Phường Hiệp Thành Quận 12,4,1,0,1,195.2,4518
Phường Thạnh Lộc Quận 12,2,1,0,1,124.8,4485.6
Phường Tăng Nhơn Phú A Quận 9,3,1,1,1,199.2,4601.52
Phường Tăng Nhơn Phú A Quận 9,5,1,1,1,283.5,12947.55
Phường Tân Chánh Hiệp Quận 12,4,1,0,1,186.3,4354.85
Phường Tân Chánh Hiệp Quận 12,4,1,1,1,186.9,4142.53
Phường Tân Chánh Hiệp Quận 12,3,1,0,1,137.1,4759.56
Phường Tân Chánh Hiệp Quận 12,4,0,0,1,255.1,6531.03
Phường Tân Chánh Hiệp Quận 12,3,1,0,1,201.1,6750
Phường Hiệp Thành Quận 12,4,1,0,1,149.2,3500
Xã Bà Điểm Huyện Hóc Môn,9,1,0,1,157.2,5964.78
Phường Linh Trung Thành phố Thủ Đức,6,1,0,1,271,7596
Phường Linh Trung Thành phố Thủ Đức,4,1,1,1,218.5,10782.225
Phường Tăng Nhơn Phú A Quận 9,3,0,0,0,140,3736.5
Phường Tăng Nhơn Phú A Quận 9,3,0,0,0,123.8,5510
Phường Thạnh Xuân Quận 12,3,1,0,1,123.2,4246.57
Phường Tăng Nhơn Phú A Quận 9,4,0,0,0,207.4,5780
Xã Trung Chánh Huyện Hóc Môn,4,1,0,1,199.5,6750
Phường Tăng Nhơn Phú A Quận 9,4,1,0,1,157.5,5990
Phường Bình Hưng Hòa B Quận Bình Tân,12,1,0,1,273.3,8055.63
Phường Tăng Nhơn Phú A Quận 9,4,0,0,0,223.4,6000
Phường Thới An Quận 12,3,1,0,1,131.7,3449.08
Phường Thới An Quận 12,3,0,0,0,176.4,6021.695
Phường Thới An Quận 12,3,0,0,0,300,6200
Phường Thới An Quận 12,1,1,0,1,300,6500
Phường Thới An Quận 12,3,1,0,1,332.5,6776.25
Phường Thới An Quận 12,4,1,0,1,90,7200
Phường 7 Quận 8,4,1,0,1,198,5800
Phường Tăng Nhơn Phú A Quận 9,4,1,1,1,133.8,4564.56
Phường Bình Hưng Hòa B Quận Bình Tân,4,1,1,1,201.2,6114
Phường Hiệp Thành Quận 12,3,0,0,1,191,3918.45
Phường Tân Thới Hiệp Quận 12,3,1,1,1,125.7,4349.715
Phường Tân Thới Hiệp Quận 12,1,1,1,1,187.6,13561.38
Phường Bình Hưng Hòa B Quận Bình Tân,4,1,1,1,199.7,8527.5
Phường Bình Trị Đông A Quận Bình Tân,4,1,0,1,156.9,4069.8
Phường Bình Hưng Hòa B Quận Bình Tân,4,0,0,0,210.3,5125.02
Phường Thạnh Lộc Quận 12,3,1,0,1,151.2,3136.93
Phường Thạnh Lộc Quận 12,3,1,0,1,133.9,3703.7
Phường Thạnh Lộc Quận 12,4,0,0,0,249.3,7000
Phường Thạnh Lộc Quận 12,4,1,0,1,165.6,5814.17
Phường Thạnh Lộc Quận 12,3,0,0,1,157.5,3249.75
Phường Thạnh Lộc Quận 12,4,1,0,1,171,3601.5
Phường Bình Hưng Hòa B Quận Bình Tân,4,1,1,1,172.8,4301.95
Phường Tăng Nhơn Phú B Quận 9,4,1,0,1,108.2,4349.22
Phường Bình Hưng Hòa Quận Bình Tân,3,1,0,1,169,5933.4
Phường Linh Tây Thành phố Thủ Đức,2,1,0,1,113.7,5222.925
Phường Linh Tây Thành phố Thủ Đức,2,1,0,1,320.7,18240
Phường Tân Tạo Quận Bình Tân,9,1,0,1,279,8600
Phường Bình Hưng Hòa Quận Bình Tân,4,1,0,1,213.9,6012.82
Phường Tân Tạo Quận Bình Tân,2,0,0,0,153,7000
Phường Tân Tạo Quận Bình Tân,4,1,1,1,208.7,7800
Phường Tân Tạo Quận Bình Tân,4,1,1,1,208.7,7800
Phường Tăng Nhơn Phú B Quận 9,4,1,0,1,155.7,4924.45
Phường Bình Hưng Hòa B Quận Bình Tân,3,1,0,1,197.1,5405.5
Phường Bình Hưng Hòa B Quận Bình Tân,4,1,1,1,222.3,6562.5
Phường Tân Tạo Quận Bình Tân,14,1,0,1,265,12000
Phường 7 Quận 8,4,1,0,1,325.5,6600
Phường Tân Tạo Quận Bình Tân,4,1,1,1,170.1,4996.29
Phường Tân Tạo Quận Bình Tân,4,1,1,1,95.5,3294
Phường Tân Tạo Quận Bình Tân,5,1,1,1,247.2,9000
Phường Tân Tạo Quận Bình Tân,5,1,0,1,204,7000
Phường 7 Quận 8,5,1,0,1,306,6504
Xã Phú Xuân Huyện Nhà Bè,2,1,0,1,75,1300
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,105,1799
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,105,2552
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,236.8,4895
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,125.8,5000
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,147.7,5600
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,195.6,5696
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,197.5,5737.95
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,240,5800
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,195.6,5800
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,240,5904
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,205,5904
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,205,5904
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,192,5925.03
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,205,5952
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,205,5952
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,205,6096
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,190,6200
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,204.7,6222.96
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,200.6,6256
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,202.5,6304
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,185.2,7200
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,206.8,8000
Phường Bình Hưng Hòa Quận Bình Tân,14,1,0,1,242.5,9500
Phường Bình Hưng Hòa Quận Bình Tân,3,1,1,1,158,6097.5
Phường Bình Hưng Hòa Quận Bình Tân,3,1,0,1,158,6520.98
Phường Bình Hưng Hòa Quận Bình Tân,4,1,0,1,298.2,9427
Phường Đông Hưng Thuận Quận 12,11,1,0,1,271.2,7251.015
Phường Tam Phú Thành phố Thủ Đức,4,1,1,1,170,8998
Phường Tam Phú Thành phố Thủ Đức,6,1,1,1,230.7,15461.4
Phường Bình Hưng Hòa Quận Bình Tân,3,1,1,1,193.8,6020
Phường 7 Quận 8,4,1,0,1,270.7,7200
Phường 7 Quận 8,4,1,0,1,344.4,6996
Phường An Lạc Quận Bình Tân,9,1,1,1,313.3,15313.5
Phường Phú Hữu Quận 9,4,0,0,0,200,5258.25
Phường Phú Hữu Quận 9,3,1,0,1,157,5602.5
Phường Phú Hữu Quận 9,3,1,0,1,157.7,5700
Phường Phú Hữu Quận 9,3,1,0,1,157.5,5797.5
Phường Phú Hữu Quận 9,3,1,0,1,157,5902.5
Phường Phú Hữu Quận 9,2,1,0,1,150,6202.5
Phường Phú Hữu Quận 9,4,1,1,1,156.5,6300
Phường Phú Hữu Quận 9,4,0,0,0,150,6397.5
Phường Phú Hữu Quận 9,3,0,0,0,175.5,6547.5
Phường Phú Hữu Quận 9,4,1,0,1,172.6,6698
Phường Phú Hữu Quận 9,3,1,0,1,188,6732
Phường Phú Hữu Quận 9,2,1,0,1,157.5,6997.5
Phường Phú Hữu Quận 9,3,1,1,1,187.1,7199.5
Phường Phú Hữu Quận 9,3,1,0,1,153,7500
Phường Phú Hữu Quận 9,3,1,0,1,150,7500
Phường Phú Hữu Quận 9,3,0,0,0,150,7800
Phường Phú Hữu Quận 9,3,1,1,1,154.3,8491.575
Phường Phú Hữu Quận 9,4,1,0,1,151,8497.5
Phường Phú Hữu Quận 9,3,1,0,1,154.3,8513.995
Phường Phú Hữu Quận 9,2,1,1,1,152.9,11664
Phường Bình Hưng Hòa Quận Bình Tân,3,1,1,1,193.8,5733
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,1,1,159.6,1945.1
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,0,1,161.3,4100.6
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,0,1,134.4,4175
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,1,1,162.9,4785.725
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,190.6,5784
Xã Phú Xuân Huyện Nhà Bè,4,1,1,1,198.2,6184.75
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,0,1,197.3,6200
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,197.3,6496
Xã Phú Xuân Huyện Nhà Bè,4,1,0,1,201,7280
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,0,1,202.2,7433.25
Phường An Lạc Quận Bình Tân,4,1,1,1,269.5,7100
Phường An Lạc Quận Bình Tân,5,1,1,1,100,22870
Phường Bình Hưng Hòa Quận Bình Tân,4,1,0,1,173.5,5508
Phường 7 Quận 8,4,1,0,1,247.3,5527.5
Phường 7 Quận 8,4,1,0,1,245.8,7904
Phường Tam Phú Thành phố Thủ Đức,4,1,0,1,141.3,5601.45
Phường Tam Phú Thành phố Thủ Đức,4,1,1,1,164.3,5811.75
Phường 7 Quận 8,4,1,0,1,279,6600
