number_of_bedroom,access_to_school,access_to_hospital,access_to_market,total_sqft,loc_lat,loc_long
4,1,0,1,240.6,10.7501032,106.6464478
7,1,0,1,379.4,10.7086888,106.7342406
6,1,0,1,487.4,10.789428,106.6264746
12,1,0,1,480.2,10.7936293,106.7064573
6,0,0,0,225.3,10.7566559,106.6695588
10,1,0,1,417.2,10.7514267,106.674553
8,0,0,0,224,10.7745444,106.6479139
8,1,0,1,414,10.835689,106.6812423
25,1,0,1,522,10.8771786,106.6536109
12,1,0,1,391.9,10.8434481,106.6571162
6,1,0,1,303.3,10.7453105,106.6303626
5,1,0,1,272.6,10.8251078,106.7040422
12,0,0,0,544,10.7471302,106.6532461
5,0,0,0,343.2,10.7900793,106.6524429
4,1,0,1,480,10.8108065,106.6868872
9,0,0,0,417,10.7784102,106.6613981
5,1,1,1,269.3,10.7391438,106.7128921
7,0,0,0,330,10.7415729,106.715829
18,0,0,0,439.3,10.8052565,106.6969985
3,0,0,0,215.6,10.7893937,106.6750618
6,1,0,1,307.5,10.7493524,106.7168472
16,0,0,1,439.4,10.7973984,106.6876578
7,0,0,0,378.4,10.7510145,106.7170204
15,0,0,0,201,10.7807537,106.6798475
10,1,1,1,208.7,10.7595027,106.6840512
6,0,0,0,598.9,10.7780926,106.6658339
6,1,0,1,91.4,10.7542331,106.6769822
9,1,0,1,258.6,10.7575553,106.6431714
10,1,0,1,396.1,10.8302,106.62662
12,1,0,1,280.7,10.7427341,106.6393392
9,0,0,0,325,10.7893937,106.6750618
10,0,0,0,217.6,10.7641625,106.6757687
8,0,0,0,298.5,10.7884755,106.698318
4,0,0,0,280.4,10.7725609,106.6788057
6,1,1,1,259.9,10.7884519,106.6210243
5,0,0,0,233.5,10.7652731,106.6769625
13,0,1,0,339.5,10.7698062,106.696162
10,0,1,1,331.5,10.7973984,106.6876578
8,1,0,1,345.9,10.7427341,106.6393392
4,0,0,1,893,10.8350921,106.7031966
28,1,0,1,884.4,10.7620099,106.6933648
7,1,1,1,350,10.7998363,106.6714487
11,1,0,1,526.4,10.7998363,106.6714487
19,1,1,1,409.1,10.7539615,106.6209779
32,1,1,1,641.9,10.7932029,106.6902032
7,1,0,1,184,10.7966991,106.6937418
30,0,0,1,850,10.8070099,106.698952
5,0,0,0,633.1,10.7427341,106.6393392
18,0,0,0,430,10.7834318,106.6711445
28,0,1,1,891,10.8001182,106.6770417
4,0,0,1,352.8,10.8160766,106.693555
5,0,0,0,499.8,10.7705015,106.6222411
20,1,0,1,806.1,10.7906545,106.6895442
7,0,0,0,245.9,10.7998363,106.6714487
4,1,0,1,480.8,10.6886927,106.6481602
5,1,1,1,640,10.8170281,106.7725619
35,1,0,1,635.5,10.8128209,106.6240969
5,1,0,1,464,10.8414896,106.6630445
21,0,0,0,520.8,10.7360325,106.6338508
3,1,0,1,312.2,10.7422507,106.634188
12,0,0,0,325,10.7540747,106.6483504
5,1,1,1,193.5,10.8474826,106.6689658
11,1,1,1,520,10.7555748,106.6571614
6,1,1,1,627.8,10.7618472,106.67588
45,1,0,1,960,10.7808131,106.7579622
28,0,0,0,396,10.7729399,106.6611959
5,1,1,1,74.6,10.8403492,106.5996544
8,0,0,0,358.1,10.76958715,106.6262197
4,0,0,0,35.8,10.7905096,106.6689641
11,1,0,1,353,10.7712304,106.6931635
5,1,0,1,400,10.8219652,106.7605409
7,1,0,1,303.3,10.7456525,106.6658913
18,1,0,1,410,10.7853909,106.6217393
8,1,1,1,242.1,10.7578459,106.6865294
6,1,0,1,376,10.7725777,106.6821041
5,0,0,0,162.5,10.7790976,106.6740219
4,1,1,1,415.9,10.7922529,106.6979689
5,1,0,1,228.5,10.8019648,106.6214131
6,1,0,1,329.9,10.8489663,106.7206215
1,1,1,1,450,10.7631632,106.7655988
5,1,0,1,327.3,10.8204879,106.6940915
6,1,1,1,368.6,10.8058889,106.6784338
5,0,0,0,916,10.7770851,106.6403651
8,0,0,0,318.8,10.8006813,106.6965283
5,1,0,1,96.5,10.7552957,106.6765197
6,1,0,1,343.8,10.7578738,106.6544569
7,1,0,1,260.6,10.7595344,106.6056798
4,0,0,0,286.6,10.8012428,106.7109826
4,1,0,1,98.7,10.7659335,106.6802281
26,1,0,1,600,10.8300283,106.7220192
7,1,1,1,118.3,10.7693016,106.6755728
7,1,0,1,232.1,10.7533369,106.7078565
5,0,0,0,288.5,10.7954868,106.6716112
10,0,0,0,146.4,10.775651,106.6704864
4,1,1,1,352.2,10.8678708,106.7348233
10,1,0,0,509.9,10.7581042,106.6803183
8,0,0,0,192.3,10.7959304,106.6569356
10,1,1,1,323.5,10.8126207,106.6670822
4,0,0,0,592,10.7391281,106.6274962
12,1,0,1,500,10.7527754,106.5966869
7,0,0,0,177.6,10.8435958,106.6493725
8,0,0,0,333.6,10.7367087,106.6252235
7,1,0,1,432.7,10.7320445,106.6283849
6,1,0,1,327,10.7420309,106.6282173
10,1,1,1,463.5,10.7284842,106.7390051
15,1,1,1,385.4,10.8184508,106.6989384
7,1,1,1,388.9,10.7433415,106.7076741
5,1,0,1,239,10.7893937,106.6750618
4,0,0,0,176.9,10.7895656,106.6786342
4,1,1,1,209.4,10.7807537,106.6798475
5,1,0,1,378.2,10.8544446,106.6252083
5,1,1,1,300.4,10.7990174,106.6638649
4,1,1,1,291.4,10.7669611,106.6921124
5,1,1,1,114.5,10.7884755,106.698318
10,1,0,1,213.9,10.835689,106.6812423
4,0,1,1,120,10.7807537,106.6798475
8,1,1,1,225.6,10.755047,106.6294483
8,0,0,0,194.5,10.7693016,106.6755728
5,0,1,1,158,10.7998363,106.6714487
9,0,1,1,505,10.7976093,106.6754549
9,0,1,1,302.9,10.7979139,106.6748516
3,1,0,1,94,10.7802551,106.6553491
4,1,0,1,224.9,10.8204635,106.6770303
3,1,0,1,395.7,10.8220042,106.6305757
10,1,1,1,381.4,10.7677819,106.6197497
