SalePrice,location_street,location_ward,location_district,number_of_toilet,access_to_school,access_to_hospital,access_to_market,number_of_floor,is_having_basement,is_having_attic_floor,is_having_rooftop,alley_width,number_of_bedroom,loc_lat,loc_long,total_sqft
33148.5,Đường Chu Văn An,Phường 26 Quận Bình Thạnh,Quận Bình Thạnh,41,0,0,0,6,1,0,0,4,40,10.8126728,106.7096212,902
90878.04,Đường Nguyễn Đình Chiểu,Phường 2 Quận 3,Quận 3,6,1,0,1,6,0,0,1,20,6,10.7696993,106.6817918,432.3
18789.28416,Đường Bạch Đằng,Phường 14 Quận Bình Thạnh,Quận Bình Thạnh,8,0,0,1,6,0,0,0,4.5,8,10.8052565,106.6969985,393.8
49187.7,Đường Nơ Trang Long,Phường 14 Quận Bình Thạnh,Quận Bình Thạnh,20,0,0,1,6,0,0,0,20,20,10.8055563,106.6950205,784
11880,Đường Võ Duy Ninh,Phường 22 Quận Bình Thạnh,Quận Bình Thạnh,27,1,0,1,6,0,0,0,2,26,10.7933816,106.7188754,450
52985.94,Đường Trần Quang Khải,Phường Tân Định Quận 1,Quận 1,16,1,0,1,6,1,0,0,6,16,10.7932029,106.6902032,800
44730.4,Đường Trần Quang Khải,Phường Tân Định Quận 1,Quận 1,11,1,0,1,6,0,0,1,10,10,10.7932029,106.6902032,322.3
50580,Đường Trần Quý Khoách,Phường Tân Định Quận 1,Quận 1,20,0,0,1,6,0,0,1,20,19,10.7932029,106.6902032,896
33353.32,Đường Ba Tháng Hai,Phường 12 Quận 10,Quận 10,5,0,0,0,6,0,0,0,10,4,10.7719416,106.6697907,276
29386.5,Đường Thành Thái,Phường 14 Quận 10,Quận 10,5,0,1,1,6,0,0,0,6,5,10.7784102,106.6613981,106.3
15696.1,Đường 2,Phường Hiệp Bình Phước Thành phố Thủ Đức,Thành phố Thủ Đức,7,1,0,1,6,0,1,0,8,5,10.8489663,106.7206215,586
27142.5,Đường Hồ Thị Kỷ,Phường 1 Quận 10,Quận 10,10,0,0,0,6,0,0,0,6,9,10.7652731,106.6769625,422.4
32196.78,Đường Bình Quới,Phường 27 Quận Bình Thạnh,Quận Bình Thạnh,18,0,0,1,6,0,0,0,15,18,10.8154916,106.7187801,861.4
17192.9638,Đường QL1A,Phường Đông Hưng Thuận Quận 12,Quận 12,15,0,0,1,6,0,0,1,12,14,10.8490599,106.6248254,334.5
20920.9,Đường Nguyễn Súy,Phường Tân Quý Quận Tân Phú,Quận Tân Phú,25,1,1,1,6,0,0,0,8,24,10.7947853,106.6217612,618.7
36646.08,Đường Cao Thắng,Phường 3 Quận 3,Quận 3,6,1,1,1,6,0,0,0,7,7,10.7701119,106.6820703,989.2
10818.948,Đường Số 49,Phường Hiệp Bình Chánh Thành phố Thủ Đức,Thành phố Thủ Đức,5,1,0,1,6,0,0,0,6,9,10.8300283,106.7220192,500.4
21434.52507,Đường Vườn Lài,Phường Tân Thành Quận Tân Phú,Quận Tân Phú,35,1,0,1,6,1,0,0,4.09,35,10.7924527,106.6335176,761.4
